C0228666	Structure of spinal cord terminal ventricle
C1281969	Entire spinal cord terminal ventricle
C1284709	Entire lumbosacral spinal cord central canal
C0014472	Ependyma
C0228604	Entire central spinal cord canal
C0228605	Structure of ependyma of spinal cord
C0228620	Cervical spinal cord central canal
C0228637	Thoracic spinal cord central canal
C0228644	Lumbar spinal cord central canal
C0545999	Cerebral ventricle and subarachnoid cistern
C0546000	Cerebral ventricle and jugular vein
C0546001	Cerebral ventricle and peritoneum
C0521406	Subependymal region
C0682717	central ventricular canal
C0446681	Entire ventricle of brain
C0149555	Third ventricle structure
C0149556	Fourth ventricle structure
C0152279	Lateral ventricle structure
C0228158	Fifth ventricle
C0446682	Specified ventricle of brain NEC
C0476467	[SO]Ventricle of brain NEC
C1268982	Entire lateral ventricle
C1268983	Entire third ventricle
C1278832	Entire fourth ventricle
C1268142	Brain ventricle part
C0008524	Structure of choroid plexus
C0038533	Structure of subcommissural organ
C0152278	Lamina septum pellucidum
C0152280	Structure of body of lateral ventricle
C0152281	Structure of anterior horn of lateral ventricle
C0152282	Occipital horn of lateral ventricle
C0152283	Temporal horn of lateral ventricle
C0152290	Structure of tela choroidea of lateral ventricle
C0152292	Structure of tela choroidea of third ventricle
C0152294	Structure of tela choroidea of fourth ventricle
C2960340	Structure of ependyma of brain ventricle
C0029126	Optic Chiasms
C0085140	Prosencephalon
C0012144	Structure of diencephalon
C0020663	Hypothalamic structure
C0020654	Hypothalamic Area, Lateral
C0020664	Hypothalamus, Anterior
C0020653	Structure of anterior hypothalamic nucleus
C2330912	Left anterior nucleus of hypothalamus
C2332628	Right anterior nucleus of hypothalamus
C1289560	Entire anterior hypothalamic nucleus
C0030532	Structure of paraventricular nucleus
C2331704	Left paraventricular nucleus of hypothalamus
C2338015	Right paraventricular nucleus of hypothalamus
C1289558	Entire paraventricular nucleus
C0033063	Preoptic Areas
C0175312	Structure of lateral preoptic nucleus
C2323665	Right lateral preoptic nucleus
C2328801	Left lateral preoptic nucleus
C1289556	Entire lateral preoptic nucleus
C0175313	Structure of medial preoptic nucleus
C2333519	Right medial preoptic nucleus
C2336746	Left medial preoptic nucleus
C1289555	Entire medial preoptic nucleus
C0175314	Structure of preoptic periventricular nucleus
C1289554	Entire preoptic periventricular nucleus
C0228365	Structure of terminal stria nuclei of preoptic region
C2328991	Left nucleus of stria terminalis
C2331127	Right nucleus of stria terminalis
C1289553	Entire terminal stria nuclei of preoptic region
C1284641	Entire preoptic area
C0038866	Structure of suprachiasmatic nucleus
C2328975	Left suprachiasmatic nucleus
C2339624	Right suprachiasmatic nucleus
C1289559	Entire suprachiasmatic nucleus
C0038869	Structure of supraoptic nucleus
C2328405	Right supraoptic nucleus
C2334404	Subdivision of supraoptic nucleus
C2328088	Dorsomedial part of supraoptic nucleus
C2329393	Dorsolateral part of supraoptic nucleus
C2329690	retrochiasmatic part of the supraoptic nucleus
C2334432	Left supraoptic nucleus
C1289557	Entire supraoptic nucleus
C0175316	Organum Vasculosum Laminae Terminalis
C0020669	Hypothalamus, Middle
C0003741	Structure of nucleus infundibularis hypothalami
C2330148	Left arcuate nucleus of hypothalamus
C2337069	Right arcuate nucleus of hypothalamus
C1289550	Entire nucleus infundibularis hypothalami
C0013055	Structure of dorsomedial hypothalamic nucleus
C2327510	Left dorsomedial nucleus of hypothalamus
C2337436	Right dorsomedial nucleus of hypothalamus
C1289561	Entire dorsomedial hypothalamic nucleus
C0020662	Hypothalamo-Hypophyseal System
C0025056	Median eminence of hypothalamus
C1289548	Entire median eminence
C0032005	Pituitary Gland
C0032008	Pituitary Gland, Anterior
C1517714	Lactotrophs
C1519424	Somatotrophs
C1519513	Pituitary TSH-Secreting Cells
C1707524	Corticotroph
C1708248	Gonadotrophs
C1517098	FSH Cells
C1517690	LH Cells
C0229530	Pars tuberalis of pituitary gland
C0751440	Pituitary Stalk
C0175325	Structure of infundibular stem of neurohypophysis
C0025056	Median eminence of hypothalamus
C1827864	Entire infundibular stem of neurohypophysis
C1284639	Entire infundibulum of hypothalamus
C0229530	Pars tuberalis of pituitary gland
C1744525	Structure of infundibulum of pituitary gland
C0025056	Median eminence of hypothalamus
C0175325	Structure of infundibular stem of neurohypophysis
C0447641	Entire infundibulum of pituitary gland
C1827935	Entire hypophysial stalk
C1280370	Entire pituitary pars tuberalis
C1828477	Entire pars tuberalis of pituitary gland
C0229531	Structure of pars intermedia of pituitary gland
C1720886	Melanotrophs
C1761589	Entire pars intermedia of pituitary gland
C0229533	Structure of distal part of pituitary
C1185668	Pars anterior of anterior lobe of pituitary gland
C1289584	Entire distal part of pituitary
C1280369	Entire adenohypophysis
C1761589	Entire pars intermedia of pituitary gland
C1828477	Entire pars tuberalis of pituitary gland
C0032009	Pituitary Gland, Posterior
C0025056	Median eminence of hypothalamus
C0447640	Pars nervosa of hypophysis
C1827557	Entire neural lobe of pituitary
C1744525	Structure of infundibulum of pituitary gland
C0175325	Structure of infundibular stem of neurohypophysis
C0229550	Structure of infundibular diverticulum
C1289585	Entire infundibular diverticulum
C0447641	Entire infundibulum of pituitary gland
C1280368	Entire neurohypophysis
C0229531	Structure of pars intermedia of pituitary gland
C0229528	Structure of pituitary capsule
C1289583	Entire pituitary capsule
C0229529	Interstitial tissue of pituitary
C0229530	Pars tuberalis of pituitary gland
C0229532	Pituitary pars intermedia colloid
C0229533	Structure of distal part of pituitary
C0229534	Structure of pharyngeal part of pituitary
C1289586	Entire pharyngeal part of pituitary
C0229535	Pituitary cell
C0229536	Acidophil cell of pars distalis of adenohypophysis
C1517714	Lactotrophs
C1519424	Somatotrophs
C2330808	Mammosomatotroph
C0229537	Pituitary beta cell
C1519513	Pituitary TSH-Secreting Cells
C1707524	Corticotroph
C1708248	Gonadotrophs
C0229538	Pituitary thyrotropic cell
C0229541	Pituitary chromophobe cell
C0229542	Pituitary amphophil cell
C0229543	Pituitary hypertrophic amphophil cell
C0229545	Pituicyte
C1517714	Lactotrophs
C1707524	Corticotroph
C1708248	Gonadotrophs
C0229536	Acidophil cell of pars distalis of adenohypophysis
C0229537	Pituitary beta cell
C0229538	Pituitary thyrotropic cell
C0229541	Pituitary chromophobe cell
C0229542	Pituitary amphophil cell
C0229543	Pituitary hypertrophic amphophil cell
C0229545	Pituicyte
C0229546	Pituitary Herring body
C0229547	Nasopharyngeal pituitary gland
C0229548	Hypophyseal diverticulum
C0229549	Craniopharyngeal duct
C1280706	Entire craniopharyngeal duct
C1284818	Entire hypophyseal diverticulum
C0229550	Structure of infundibular diverticulum
C0751440	Pituitary Stalk
C1517714	Lactotrophs
C1707524	Corticotroph
C0229549	Craniopharyngeal duct
C1708248	Gonadotrophs
C0447643	Intraglandular cleft of pituitary gland
C0580871	Vascular structure of pituitary gland
C0580880	Inferior pituitary vein
C0582870	Entire hypophyseal artery
C0226168	Entire superior hypophyseal artery
C1261083	Structure of inferior hypophyseal artery
C0923249	Right inferior hypophyseal artery
C0934084	Left inferior hypophyseal artery
C0923252	Medial branch of inferior hypophyseal artery
C0923253	Medial branch of left inferior hypophyseal artery
C0934085	Medial branch of right inferior hypophyseal artery
C0923254	Lateral branch of inferior hypophyseal artery
C0923255	Lateral branch of right inferior hypophyseal artery
C0923256	Lateral branch of left inferior hypophyseal artery
C0226167	Entire inferior hypophyseal artery
C0226167	Entire inferior hypophyseal artery
C0226166	Hypophyseal artery
C0582870	Entire hypophyseal artery
C1261083	Structure of inferior hypophyseal artery
C1261387	Structure of superior hypophyseal artery
C0923250	Right superior hypophyseal artery
C0923251	Left superior hypophyseal artery
C2325294	Fourth superior hypophysial artery
C2331764	Fourth left superior hypophysial artery
C2335995	Fourth right superior hypophysial artery
C2331436	Third superior hypophysial artery
C2324892	Third right superior hypophysial artery
C2333324	Third left superior hypophysial artery
C2332541	Second superior hypophysial artery
C2332452	Second left superior hypophysial artery
C2337292	Second right superior hypophysial artery
C2334567	First superior hypophysial artery
C2331125	First right superior hypophysial artery
C2334124	First left superior hypophysial artery
C0226168	Entire superior hypophyseal artery
C1283264	Pituitary portal veins
C0226605	Structure of hypophyseal portal venous plexus
C1289582	Entire hypophyseal portal venous plexus
C1284005	Pituitary long portal vein
C1284006	Pituitary short portal vein
C1278880	Entire pituitary gland
C1285101	Pituitary part
C0032008	Pituitary Gland, Anterior
C0032009	Pituitary Gland, Posterior
C0229528	Structure of pituitary capsule
C0229529	Interstitial tissue of pituitary
C0229530	Pars tuberalis of pituitary gland
C0229531	Structure of pars intermedia of pituitary gland
C0229533	Structure of distal part of pituitary
C0447643	Intraglandular cleft of pituitary gland
C0751440	Pituitary Stalk
C0020662	Hypothalamo-Hypophyseal System
C0871776	Hypothalamo Pituitary Adrenal System
C0041283	Cinereum, Tuber
C0228383	Tuberal nuclei of hypothalamus
C0003741	Structure of nucleus infundibularis hypothalami
C0042518	Structure of ventromedial hypothalamic nucleus
C2331950	Right ventromedial nucleus of hypothalamus
C2339385	Left ventromedial nucleus of hypothalamus
C1289551	Entire ventromedial hypothalamic nucleus
C0228377	Tuberomammillary Nucleus
C2327260	Right tuberomammillary nucleus
C2334376	Left tuberomammillary nucleus
C1289569	Entire mammilloinfundibular nucleus
C1289549	Entire tuberomammillary nucleus
C1284645	Entire tuberal nuclei of hypothalamus
C1284640	Entire tuber cinereum
C0042518	Structure of ventromedial hypothalamic nucleus
C0020670	Posterior Hypothalamic Region
C0024670	Mammillary body structure
C2950123	Left mammillary body
C2953290	Right mammillary body
C0152357	Structure of lateral mammillary nucleus
C2334434	Right lateral mammillary nucleus
C2337867	Left lateral mammillary nucleus
C1289570	Entire lateral mammillary nucleus
C0152358	Structure of mammillary peduncle
C2337642	Right mammillary peduncle
C2338047	Left mammillary peduncle
C1289573	Entire mammillary peduncle
C0175329	Structure of medial mammillary nucleus
C2325410	Left medial mammillary nucleus
C2337950	Right medial mammillary nucleus
C1289568	Entire medial mammillary nucleus
C0228373	Paramammillary gray matter
C0228375	Structure of mammillothalamic tract of hypothalamus
C2330019	Left mammillothalamic tract of hypothalamus
C2332349	Right mammillothalamic tract of hypothalamus
C1289566	Entire mammillothalamic tract of hypothalamus
C0228376	Structure of mammillotegmental tract of hypothalamus
C2330773	Left mammillotegmental fasciculus
C2332350	Right mammillotegmental fasciculus
C1289567	Entire mammillotegmental tract of hypothalamus
C0228377	Tuberomammillary Nucleus
C0228378	Structure of supramammillary nucleus
C2323074	Left supramammillary nucleus
C2337339	Right supramammillary nucleus
C1289571	Entire supramammillary nucleus
C0228380	Structure of mammillary peduncular nucleus
C1289572	Entire mammillary peduncular nucleus
C1305759	Entire mammillary body
C0003741	Structure of nucleus infundibularis hypothalami
C0013055	Structure of dorsomedial hypothalamic nucleus
C0020653	Structure of anterior hypothalamic nucleus
C0020671	Supraoptic Hypothalamus
C0013055	Structure of dorsomedial hypothalamic nucleus
C0020653	Structure of anterior hypothalamic nucleus
C0038866	Structure of suprachiasmatic nucleus
C0228367	Magnocellular hypothalamic nuclei
C0030532	Structure of paraventricular nucleus
C0038869	Structure of supraoptic nucleus
C1284643	Entire magnocellular hypothalamic nuclei
C1284642	Entire supraoptic region of hypothalamus
C0024670	Mammillary body structure
C0025055	Structure of median forebrain bundle
C1289579	Entire median forebrain bundle
C0025056	Median eminence of hypothalamus
C0030532	Structure of paraventricular nucleus
C0033063	Preoptic Areas
C0038866	Structure of suprachiasmatic nucleus
C0038869	Structure of supraoptic nucleus
C0041283	Cinereum, Tuber
C0042518	Structure of ventromedial hypothalamic nucleus
C0086527	Lateral Hypothalamic Nucleus
C0038869	Structure of supraoptic nucleus
C0175312	Structure of lateral preoptic nucleus
C0228383	Tuberal nuclei of hypothalamus
C1284647	Entire lateral hypothalamic nuclei
C1761563	Entire lateral hypothalamic nucleus
C0038869	Structure of supraoptic nucleus
C0086527	Lateral Hypothalamic Nucleus
C2328763	Left lateral hypothalamic nucleus
C2332252	Right lateral hypothalamic nucleus
C0152357	Structure of lateral mammillary nucleus
C0152358	Structure of mammillary peduncle
C0152360	Lateral tuberal nuclei
C2326006	Left lateral tuberal nucleus
C2337698	Right lateral tuberal nucleus
C0175325	Structure of infundibular stem of neurohypophysis
C0175329	Structure of medial mammillary nucleus
C0175331	Mammillary princeps fasciculus
C0228363	Structure of posterior perforated substance of hypothalamus
C1289552	Entire posterior perforated substance of hypothalamus
C0228364	Structure of fornix of hypothalamus
C1289545	Entire fornix of hypothalamus
C0228365	Structure of terminal stria nuclei of preoptic region
C0228368	Structure of supraoptic hypophyseal tract
C2326701	Right supraopticohypophysial tract
C2339684	Left supraopticohypophysial tract
C1289562	Entire supraoptic hypophyseal tract
C0228369	Structure of tuberoinfundibular tract of hypothalamus
C1289563	Entire tuberoinfundibular tract of hypothalamus
C0228370	Structure of hypothalamicohypophyseal tract
C1289564	Entire hypothalamicohypophyseal tract
C0228371	Periventricular gray matter of hypothalamus
C0228373	Paramammillary gray matter
C0228374	Caudal area of hypothalamus
C0024670	Mammillary body structure
C0228385	Structure of posterior hypothalamic nucleus
C2323209	Left posterior nucleus of hypothalamus
C2329132	Right posterior nucleus of hypothalamus
C1289574	Entire posterior hypothalamic nucleus
C1284644	Entire caudal area of hypothalamus
C0228375	Structure of mammillothalamic tract of hypothalamus
C0228376	Structure of mammillotegmental tract of hypothalamus
C0228377	Tuberomammillary Nucleus
C0228378	Structure of supramammillary nucleus
C0228379	Structure of supramammillary decussation
C1289575	Entire supramammillary decussation
C0228380	Structure of mammillary peduncular nucleus
C0228381	Structure of nucleus intercalatus of hypothalamus
C1289576	Entire nucleus intercalatus of hypothalamus
C0228382	Structure of transverse peduncular tract nucleus
C1289577	Entire transverse peduncular tract nucleus
C0228383	Tuberal nuclei of hypothalamus
C0228384	Medial hypothalamic nucleus
C1283308	Periventricular hypothalamic nucleus
C0003741	Structure of nucleus infundibularis hypothalami
C0030532	Structure of paraventricular nucleus
C0038866	Structure of suprachiasmatic nucleus
C0175314	Structure of preoptic periventricular nucleus
C0228385	Structure of posterior hypothalamic nucleus
C1283309	Intermediate hypothalamic nucleus
C0013055	Structure of dorsomedial hypothalamic nucleus
C0020653	Structure of anterior hypothalamic nucleus
C0042518	Structure of ventromedial hypothalamic nucleus
C0175313	Structure of medial preoptic nucleus
C0003741	Structure of nucleus infundibularis hypothalami
C0013055	Structure of dorsomedial hypothalamic nucleus
C0038866	Structure of suprachiasmatic nucleus
C0042518	Structure of ventromedial hypothalamic nucleus
C0175313	Structure of medial preoptic nucleus
C0175314	Structure of preoptic periventricular nucleus
C0228367	Magnocellular hypothalamic nuclei
C0228385	Structure of posterior hypothalamic nucleus
C1284646	Entire medial nuclei of hypothalamus
C0228385	Structure of posterior hypothalamic nucleus
C0228386	Structure of diencephalic portion of dorsal longitudinal fasciculus
C1289580	Entire diencephalic portion of dorsal longitudinal fasciculus
C0228387	Structure of diencephalic periventricular fibers
C1289581	Entire diencephalic periventricular fibers
C0228388	Structure of hypothalamicothalamic tract
C1289578	Entire hypothalamicothalamic tract
C0259793	Median preoptic nucleus
C0546026	Superior principal preoptic nucleus
C0546027	Inferior principal preoptic nucleus
C0546028	Thalamus, inferior peduncular interstitial nucleus
C0546029	Hypothalamus, rubral nucleus
