"brainregion","disease","count"
"Visual Cortex","Depressive disorder","7"
"Metencephalon","Autism Spectrum Disorders","7"
"Cortex, Primary Motor","Huntington Disease","7"
"Cerebral cortex","Acquired Immunodeficiency Syndrome","7"
"Structure of diencephalon","Spinal Cord Diseases","7"
"Temporal Lobe","Motor Neuron Disease","7"
"BRAIN, HIPPOCAMPUS","Hypertrophic disorder of skin, unspecified","7"
"Cerebellum","Motor Neuron Disease","7"
"Structure of nucleus infundibularis hypothalami","Skin endocrine disorder","7"
"Structure of locus ceruleus","Dysequilibrium syndrome","7"
"Structure of putamen","Parkinson Disease","7"
"BRAIN, HIPPOCAMPUS","Eosinophilic disorder","7"
"Ventral Tegmental Area","Syndrome, Bloch-Sulzberger","7"
"Hypoglossal nerve nucleus","Sudden infant death syndrome","7"
"Entire brainstem","Spinal Cord Diseases","7"
"Lobe, Frontal","Pick Disease of the Brain","7"
"Barrington's Nucleus","Spinal Cord Diseases","7"
"Prosencephalon","Autistic Disorder","7"
"Entire medulla oblongata","Parkinson Disease","7"
"Structure of locus ceruleus","Sensitization (disorder)","7"
"Hindbrain","Retinal Diseases","7"
"Structure of nucleus prepositus","Functional disorder","7"
"Hypothalamic Area, Lateral","Functional disorder","7"
"Posterior cerebral commissure","Disorder of pineal gland","7"
"Pituitary Stalk","Pituitary Diseases","7"
"Internal capsule of brain","Mild cognitive disorder","7"
"Gigantocellular nucleus","Alzheimer's Disease","7"
"Structure of trigeminal nerve spinal tract nucleus","Migraine Disorders","7"
"Brain Stem","Communicable Diseases","7"
"Parolfactory area structure (body structure)","Machado-Joseph Disease","7"
"Midbrain structure","Niemann-Pick Disease, Type C","7"
"Planum polare (PP)","Li-Fraumeni Syndrome","7"
"BRAIN, HIPPOCAMPUS","Motor Neuron Disease","7"
"Corpus striatum structure","Liver diseases","7"
"Brain Stem","neuropathology disease","7"
"Structure of olfactory bulb","Parkinson Disease","7"
"Genus Hippocampus","Rett Syndrome","7"
"Cerebellum","Williams Syndrome","7"
"Substantia nigra structure","Retinal Diseases","7"
"Neostriatum","Syndrome, Bloch-Sulzberger","7"
"Lateral ventricle structure","Spinal Cord Diseases","7"
"Corpus striatum structure","Autistic Disorder","7"
"Presubiculum","Alzheimer's Disease","7"
"Lobe, Frontal","Autism Spectrum Disorders","7"
"Globus Pallidus","Dyskinetic syndrome","7"
"Habenular Nucleus","Disorder of pineal gland","7"
"BRAIN, HIPPOCAMPUS","Norrie disease","7"
"Pineal gland","Pituitary Diseases","7"
"Thalamic structure","DISORDERS OF THE OPTIC NERVE","7"
"Cerebral cortex","Degenerative disorder","7"
"Neostriatum","Nail-Patella Syndrome","7"
"Pulvinar structure","Retinal Diseases","6"
"Nuclei, Raphe","Bipolar Disorder","6"
"central amygdalar nucleus","Recurrent disease","6"
"Somatosensory Cortex","Pervasive Development Disorder","6"
"Cerebrum","Alzheimer's Disease","6"
"Posterior cerebral commissure","Hashimoto Disease","6"
"Pyramidal Cells","Psychotic Disorders","6"
"Hypothalamic structure","Sleep Disorders","6"
"Cerebellum","Zellweger Syndrome","6"
"Stria Vascularis","Diseases of inner ear","6"
"Prefrontal Cortex","Attention Deficit Disorder","6"
"Temporal Lobe","Disorders, Mental","6"
"Structure of reticular formation of medulla oblongata","Peripheral Arterial Diseases","6"
"Bundle, Predorsal","Dyskinetic syndrome","6"
"Lobe, Frontal","Neurotoxicity Syndromes","6"
"Paracentral Thalamic Nucleus","Hashimoto Disease","6"
"Reticular Formation","Sudden infant death syndrome","6"
"Brodmann area 18","Myeloproliferative Syndrome, Transient","6"
"Lobe, Frontal","Disease Progression","6"
"Purkinje Cells","Hereditary Diseases","6"
"Somatosensory Cortex","Functional disorder","6"
"Cerebral hemisphere structure (body structure)","Motor Neuron Disease","6"
"Prosencephalon","Neurodegenerative Disorders","6"
"Cerebral Peduncle","Depressive disorder","6"
"Median eminence of hypothalamus","Herpes zoster disease","6"
"Acoustic nerve","Diseases of inner ear","6"
"Cerebral cortex","Fetal Alcohol Spectrum Disorders","6"
"Telencephalon","Liver diseases","6"
"Lateral Septal Nucleus","Sweet Syndrome","6"
"Prosencephalon","Disorder nervous system","6"
"Entire Reil's limiting sulcus","cortex bone disorders","6"
"Oculomotor nucleus","Spinal Cord Diseases","6"
"Olfactory tract","cortex bone disorders","6"
"Structure of central sulcus","Coffin-Siris syndrome","6"
"Globus Pallidus","Alzheimer's Disease","6"
"Structure of rubrospinal tract","Van der Woude syndrome","6"
"Set of basolateral nuclei of amygdala","Functional disorder","6"
"Neostriatum","Colonic Diseases","6"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Alzheimer's Disease","6"
"Structure of angular gyrus","Cardiovascular Diseases","6"
"Structure of preoptic periventricular nucleus","Pituitary Diseases","6"
"Sensorimotor Cortex","Hamartoma Syndrome, Multiple","6"
"Respiratory Center","Spinal Cord Diseases","6"
"Precentral gyrus","cortex bone disorders","6"
"Cerebral cortex","Cerebrovascular Disorders","6"
"Brain Stem","Leigh Disease","6"
"Corpus striatum structure","Brain Diseases","6"
"Area striata structure","Alzheimer's Disease","6"
"Structure of fissure of Sylvius","Sweet Syndrome","6"
"Structure of ansa lenticularis","Hamartoma Syndrome, Multiple","6"
"Trigeminal Nuclei","cortex bone disorders","6"
"Marginal Sulcus","Functional disorder","6"
"Midbrain structure","Van der Woude syndrome","6"
"Genus Hippocampus","Hodgkin Disease","6"
"Cerebral cortex","Capillary malformation (disorder)","6"
"Pedunculopontine Tegmental Nucleus","Alzheimer's Disease","6"
"Prosencephalon","Mood Disorders","6"
"Prosencephalon","Hypertensive disease","6"
"Cerebral hemisphere structure (body structure)","Disorders, Mental","6"
"Structure of dentate gyrus","Hodgkin Disease","6"
"BRAIN, HIPPOCAMPUS","Parkinsonian Disorders","6"
"Nucleus of Ansa Lenticularis","Hamartoma Syndrome, Multiple","6"
"Amygdaloid structure","Sensitization (disorder)","6"
"Ventral Lateral Thalamic Nucleus","Spinal Cord Diseases","6"
"Parietal Lobe","Mild cognitive disorder","6"
"Septal Nuclei","Spinal Cord Diseases","6"
"Medial Dorsal Nucleus","Psychotic Disorders","6"
"Amygdaloid structure","Retinal Diseases","6"
"Area, Septal","cortex bone disorders","6"
"Thalamic structure","Recurrent disease","6"
"Cerebral cortex","Nose Diseases","6"
"Medulla Oblongata","Syndrome","6"
"Bundle, Predorsal","Spinal Cord Diseases","6"
"Inferior Colliculus","Mild cognitive disorder","6"
"Nucleus of optic tract","Pituitary Diseases","6"
"Brain Stem","Obsessive-Compulsive Disorder","6"
"Set of basolateral nuclei of amygdala","Depressive disorder","6"
"Entire hippocampus","cortex bone disorders","6"
"Nuclei, Raphe","Obsessive-Compulsive Disorder","6"
"Nucleus solitarius","Sudden infant death syndrome","6"
"Pituitary Gland","Muckle-Wells Syndrome","6"
"Structure of dentate gyrus","Disease Progression","6"
"Hypothalamic structure","Mucocutaneous Lymph Node Syndrome","6"
"Pyramidal Cells","Williams Syndrome","6"
"Insula of Reil","Pervasive Development Disorder","6"
"Paratenial Nucleus","cortex bone disorders","6"
"Structure of anterior commissure","cortex bone disorders","6"
"CA3 field","Neurotoxicity Syndromes","6"
"central amygdalar nucleus","Hypertensive disease","6"
"Inferior cerebellar peduncle","Spinal Cord Diseases","6"
"Telencephalon","Renal glomerular disease","6"
"caudal raphe nuclei","Spinal Cord Diseases","6"
"Pyramidal Cells","Leigh Disease","6"
"Lateral superior olivary nucleus","Lung Diseases, Interstitial","6"
"Cerebral cortex","Renal glomerular disease","6"
"Cochlear Nerve","Depressive disorder","6"
"Habenula","Disorders, Mental","6"
"Tuberomammillary Nucleus","cortex bone disorders","6"
"Amygdaloid structure","Neurodevelopmental disorder","6"
"Pontine structure","Alzheimer's Disease","6"
"Hypothalamic structure","Syndrome","6"
"BRAIN, HIPPOCAMPUS","Li-Fraumeni Syndrome","6"
"BRAIN, HIPPOCAMPUS","Pick Disease of the Brain","6"
"Medulla Oblongata","Esophageal Diseases","6"
"Tuberomammillary Nucleus","Timothy syndrome","6"
"Structure of entorhinal cortex","Disease Progression","6"
"Central gray substance of midbrain","Functional disorder","6"
"Pituitary Gland","Retinal Diseases","6"
"Lobe, Frontal","Pituitary Diseases","6"
"Cerebellum","Lung diseases","6"
"Optic tract structure","cortex bone disorders","6"
"Thalamic structure","Norrie disease","6"
"Structure of suprachiasmatic nucleus","Liver diseases","6"
"Basal Ganglia","motor disorder","6"
"Limbic System","Spinal Cord Diseases","6"
"Prefrontal Cortex","Alcohol use disorder","6"
"Lateral posterior nucleus of thalamus","Leigh Disease","6"
"Ependyma","Spinal Cord Diseases","6"
"Midbrain structure","Liver diseases","6"
"Hypothalamic structure","Nose Diseases","6"
"Temporal Lobe","Pick Disease of the Brain","6"
"Septal Nuclei","cortex bone disorders","6"
"Structure of rubrospinal tract","Disorder nervous system","6"
"CA2 field","Disease Progression","6"
"Set of basolateral nuclei of amygdala","Recurrent disease","6"
"Structure of suprachiasmatic nucleus","Disease Progression","6"
"Cerebellum","Migraine Disorders","6"
"Cerebral cortex","Storage disease","6"
"Cerebral cortex","Peripheral Arterial Diseases","6"
"Thalamic structure","Renal glomerular disease","6"
"Cerebrum","Liver diseases","6"
"Medulla Oblongata","Liver diseases","6"
"Pituitary Gland","Alzheimer's Disease","6"
"Pituitary Gland","Uterine Diseases","6"
"Midbrain structure","Hypertensive disease","6"
"Thalamic structure","Movement Disorders","6"
"Neostriatum","Autism Spectrum Disorders","6"
"Pyramidal Cells","Sturge-Weber Syndrome","6"
"Superior colliculus of corpora quadrigemina","Depressive disorder","6"
"Structure of olfactory bulb","Retinal Diseases","6"
"Limbic System","Depressive disorder","6"
"Pyramidal Tracts","Motor Neuron Disease","6"
"Nucleus of anterior commissure","cortex bone disorders","6"
"Globus Pallidus","Tic disorder","6"
"Pontine structure","Sudden infant death syndrome","6"
"Structure of suprachiasmatic nucleus","Skin endocrine disorder","6"
"Temporal Lobe","Spinal Cord Diseases","6"
"Neocortex","Autistic Disorder","6"
"Medial Dorsal Nucleus","Pervasive Development Disorder","6"
"Area striata structure","Disease Progression","6"
"BRAIN, HIPPOCAMPUS","CNS disorder","6"
"BRAIN, HIPPOCAMPUS","Ataxia as late effect of cerebrovascular disease","6"
"Structure of supraoptic nucleus","cortex bone disorders","6"
"Cerebellar gracile lobule","cortex bone disorders","6"
"Dorsal Nucleus Raphe","Mild cognitive disorder","6"
"Amygdaloid structure","neuropathology disease","6"
"Ventral Tegmental Area","Alzheimer's Disease","6"
"Visual Cortex","Alzheimer's Disease","6"
"Interpeduncular nucleus","Functional disorder","6"
"Cerebellum","Iodine deficiency syndrome","6"
"central amygdalar nucleus","Alcohol use disorder","6"
"Medial nucleus of habenula","cortex bone disorders","6"
"Medulla Oblongata","Pituitary Diseases","6"
"Medial Septal Nucleus","Functional disorder","6"
"Preoptic Areas","Ovarian Diseases","6"
"Temporal Lobe","Mesulam Syndrome","6"
"Amygdaloid structure","Antisocial Personality Disorder","6"
"Tuberomammillary Nucleus","Gilles de la Tourette syndrome","6"
"Nucleus Accumbens","Obsessive-Compulsive Disorder","6"
"Cerebral cortex","Lens Diseases","6"
"Cerebral cortex","Movement Disorders","6"
"Prefrontal Cortex","Neurodegenerative Disorders","6"
"Cerebral cortex","Stereotypic Movement Disorder","6"
"Basal Forebrain","Syndrome","6"
"Cerebral cortex","Pituitary Diseases","6"
"Prosencephalon","Skin endocrine disorder","6"
"BRAIN, HIPPOCAMPUS","Bloom Syndrome","6"
"Brain Stem","Neurotoxicity Syndromes","6"
"Cerebral hemisphere structure (body structure)","Meningeal disorder","6"
"Basal Forebrain","Cognition Disorders","6"
"Structure of nucleus infundibularis hypothalami","Ovarian Diseases","6"
"Hypothalamic structure","Huntington Disease","6"
"Pontine nuclei","cortex bone disorders","6"
"central amygdalar nucleus","Spinal Cord Diseases","6"
"Structure of medial globus pallidus","Dystonia Disorders","6"
"Vestibular nucleus structure","cortex bone disorders","6"
"Pyramidal Cells","Disorders, Mental","6"
"Structure of Reil's limiting sulcus","cortex bone disorders","6"
"Prefrontal Cortex","Disease Progression","6"
"Retinohypothalamic tract","Retinal Diseases","6"
"Cerebral hemisphere structure (body structure)","Sequela of disorder","6"
"Genus Hippocampus","Sequela of disorder","6"
"Genus Hippocampus","Skin endocrine disorder","6"
"Cerebral cortex","Hodgkin Disease","6"
"Motor Cortex","Alzheimer's Disease","6"
"Pedunculopontine Tegmental Nucleus","Sleep Disorders","6"
"Thalamic structure","Shy-Drager Syndrome","6"
"Corpus striatum structure","Autism Spectrum Disorders","6"
"CA1 field","Conjunctival Diseases","6"
"Orbital cortex","cortex bone disorders","6"
"basolateral nucleus of the amygdala","Williams Syndrome","6"
"Amygdaloid structure","Lewy Body Disease","6"
"Structure of cranial nerve nucleus","Spinal Cord Diseases","6"
"Cerebellum","Disorder of pineal gland","6"
"Cochlear nucleus structure","Spinal Cord Diseases","6"
"Pyramidal Cells","Syndrome","6"
"Pyramidal Cells","Sweet Syndrome","6"
"Anterodorsal nucleus of thalamus","Creutzfeldt-Jakob disease","6"
"Dentate nucleus","Spinal Cord Diseases","6"
"Cerebral cortex","Esophageal Diseases","6"
"Genus Hippocampus","Metabolic Diseases","6"
"Set of basolateral nuclei of amygdala","Hamartoma Syndrome, Multiple","6"
"BRAIN, HIPPOCAMPUS","Sleep Apnea Syndromes","6"
"Corpus striatum structure","motor disorder","6"
"Structure of paraventricular nucleus","Alzheimer's Disease","6"
"Acoustic nerve","Depressive disorder","6"
"Caudate nucleus structure","Functional disorder","6"
"Pontine nuclei","Renal glomerular disease","6"
"Purkinje Cells","Dystonia Disorders","6"
"Midbrain structure","Obsessive-Compulsive Disorder","6"
"Cerebral hemisphere structure (body structure)","Occlusion of artery (disorder)","6"
"Planum temporale (PT)","cortex bone disorders","6"
"Cerebral cortex","Hashimoto Disease","6"
"Lateral habenular nucleus","cortex bone disorders","6"
"Metencephalon","Pervasive Development Disorder","6"
"Thalamic structure","Neurotoxicity Syndromes","6"
"Structure of locus ceruleus","Major Depressive Disorder","6"
"Structure of cingulum","Alzheimer's Disease","6"
"Structure of superior longitudinal fasciculus","Psychotic Disorders","6"
"Genus Hippocampus","Virus Diseases","6"
"Metencephalon","Brain Diseases","6"
"Cortex, Primary Motor","Dystonia Disorders","5"
"Central gray substance of midbrain","McCune-Albright Syndrome","5"
"Pituicyte","Pituitary Diseases","5"
"Inferior frontal gyrus","Pervasive Development Disorder","5"
"External capsule","Leigh Disease","5"
"BRAIN, HIPPOCAMPUS","Pigment dispersion syndrome (disorder)","5"
"Epithalamic structure","Disorder of pineal gland","5"
"Prosencephalon","Liver diseases","5"
"Area striata structure","DISORDERS OF THE OPTIC NERVE","5"
"Prefrontal Cortex","Pituitary Diseases","5"
"CA1 field","Fetal Alcohol Syndrome","5"
"Neostriatum","Brain Diseases","5"
"Structure of thalamic fasciculus","Retinal Diseases","5"
"Pyramidal Cells","Renal glomerular disease","5"
"Globus Pallidus","Herpes zoster disease","5"
"Prosencephalon","DISORDERS OF THE OPTIC NERVE","5"
"Medulla Oblongata","Hamartoma Syndrome, Multiple","5"
"Brain Stem","Hamartoma Syndrome, Multiple","5"
"Entire medulla oblongata","Lung diseases","5"
"Structure of nucleus cuneatus","cortex bone disorders","5"
"Cerebral hemisphere structure (body structure)","Parkinsonian Disorders","5"
"Thalamic structure","Menkes Kinky Hair Syndrome","5"
"Thalamic Nuclei","Alzheimer's Disease","5"
"Cerebellar hemisphere structure","cortex bone disorders","5"
"Lateral ventricle structure","Parkinson Disease","5"
"Genus Hippocampus","Shy-Drager Syndrome","5"
"Nucleus solitarius","Sweet Syndrome","5"
"Structure of medial preoptic nucleus","Pituitary Diseases","5"
"Geniculate body structure","Retinal Diseases","5"
"Myelencephalon","Spinal Cord Diseases","5"
"Cerebral cortex","Werner Syndrome","5"
"Corpus striatum structure","Melkersson-Rosenthal Syndrome","5"
"precerebellar nuclei","Spinal Cord Diseases","5"
"Superior colliculus of corpora quadrigemina","Adult Fanconi syndrome","5"
"Habenula","Syndrome, Bloch-Sulzberger","5"
"Midbrain structure","Hamartoma Syndrome, Multiple","5"
"Cerebral cortex","Ovarian Diseases","5"
"Occipital lobe","Creutzfeldt-Jakob disease","5"
"Hypothalamic structure","Meningeal disorder","5"
"Habenula","cortex bone disorders","5"
"Prefrontal Cortex","Van der Woude syndrome","5"
"Reticular Formation","Retinal Diseases","5"
"Genus Hippocampus","Alcohol withdrawal syndrome","5"
"Inferior olivary nucleus","Hamartoma Syndrome, Multiple","5"
"Nucleus Accumbens","Alzheimer's Disease","5"
"BRAIN, HIPPOCAMPUS","Christ-Siemens-Touraine syndrome","5"
"Purkinje Cells","Sweet Syndrome","5"
"Somatosensory Cortex","Autism Spectrum Disorders","5"
"Habenula","Spinal Cord Diseases","5"
"Cerebellum","Fetal Alcohol Spectrum Disorders","5"
"Entire geniculate body","Retinal Diseases","5"
"Geniculate body structure","cortex bone disorders","5"
"CA1 field","Sweet Syndrome","5"
"Cerebral white matter structure","cortex bone disorders","5"
"mossy fiber","cortex bone disorders","5"
"Prefrontal Cortex","Melkersson-Rosenthal Syndrome","5"
"Cerebral hemisphere structure (body structure)","Fetal Alcohol Syndrome","5"
"Basal Ganglia","Retinal Diseases","5"
"Dorsal Septal Nucleus","cortex bone disorders","5"
"Substantia Nigra Pars Reticulata","Dyskinetic syndrome","5"
"Structure of central sulcus","Milroy Disease","5"
"Type 2 vestibular sensory cell","Diseases of inner ear","5"
"Genus Hippocampus","Meningeal disorder","5"
"Cerebellum","Chronic Fatigue Syndrome","5"
"Genus Hippocampus","Parkinsonian Disorders","5"
"intercalated amygdalar nuclei","Peripheral Arterial Diseases","5"
"Reuniens Thalamic Nucleus","cortex bone disorders","5"
"Inferior Colliculus","Functional disorder","5"
"Pyramidal Cells","Parkinson Disease","5"
"Lamina Terminalis","Spinal Cord Diseases","5"
"mossy fiber","Spinal Cord Diseases","5"
"Insula of Reil","Psychotic Disorders","5"
"Prefrontal Cortex","Fetal Alcohol Syndrome","5"
"Cerebral hemisphere structure (body structure)","Lung diseases","5"
"Cerebral cortex","Myeloproliferative Syndrome, Transient","5"
"Structure of dentate gyrus","Neurodegenerative Disorders","5"
"Submedial Nucleus","cortex bone disorders","5"
"Medial Dorsal Nucleus","Disease Progression","5"
"Diagonal Band of Broca","Alzheimer's Disease","5"
"mossy fiber","Renal glomerular disease","5"
"Cerebral cortex","Behavior Disorders","5"
"BRAIN, HIPPOCAMPUS","Triglyceride storage disease with ichthyosis","5"
"Inferior Colliculus","Depressive disorder","5"
"Hypothalamic structure","Hashimoto Disease","5"
"Sensorimotor Cortex","Depressive disorder","5"
"Globus Pallidus","Syndrome","5"
"Cerebral cortex","Diseases of inner ear","5"
"Oral pontine reticular nucleus","Spinal Cord Diseases","5"
"Prosencephalon","Huntington Disease","5"
"Cerebral cortex","New Variant Creutzfeldt-Jakob Disease","5"
"Genus Hippocampus","Memory Disorders","5"
"Structure of optic radiation","DISORDERS OF THE OPTIC NERVE","5"
"Motor Cortex","Hamartoma Syndrome, Multiple","5"
"Prefrontal Cortex","Rett Syndrome","5"
"Dentatothalamic tract","DISORDERS OF THE OPTIC NERVE","5"
"Nucleus solitarius","Prune Belly Syndrome","5"
"Entire medulla oblongata","Vasodilation disorder","5"
"Nucleus solitarius","Vasodilation disorder","5"
"Cerebellum","Gilles de la Tourette syndrome","5"
"Structure of dentate gyrus","Major Depressive Disorder","5"
"BRAIN, HIPPOCAMPUS","Mesulam Syndrome","5"
"Basal Nucleus of Meynert","Disorder nervous system","5"
"Hypothalamic structure","Prader-Willi Syndrome","5"
"Structure of diencephalon","Functional disorder","5"
"Pars Compacta","neuropathology disease","5"
"Cerebral hemisphere structure (body structure)","Mild cognitive disorder","5"
"Structure of piriform area","Renal glomerular disease","5"
"Genus Hippocampus","Feline urological syndrome","5"
"Internal arcuate tract","Peripheral Arterial Diseases","5"
"Parietal Lobe","Hamartoma Syndrome, Multiple","5"
"Central gray substance of midbrain","Meconium Aspiration Syndrome","5"
"Globus Pallidus","Disorder nervous system","5"
"Pars Compacta","Alzheimer's Disease","5"
"Basal Ganglia","Shy-Drager Syndrome","5"
"Reuniens Thalamic Nucleus","Retinal Diseases","5"
"Caudate nucleus structure","Parkinsonian Disorders","5"
"Brain Stem","Niemann-Pick Disease, Type C","5"
"Left insula","Psychotic Disorders","5"
"Neocortex","Huntington Disease","5"
"Lateral occipitotemporal gyrus","Down Syndrome","5"
"Pituitary Gland, Posterior","Spinal Cord Diseases","5"
"Cerebral cortex","Virus Diseases","5"
"Parietal Lobe","Popliteal pterygium syndrome","5"
"Dentate nucleus","Syndrome","5"
"Amygdaloid structure","Obsessive-Compulsive Disorder","5"
"Structure of lateral globus pallidus","Huntington Disease","5"
"Midbrain structure","Attention Deficit Disorder","5"
"Bundle, Predorsal","Pervasive Development Disorder","5"
"Genus Hippocampus","Mixed anxiety and depressive disorder","5"
"Hypothalamic Area, Lateral","Depressive disorder","5"
"Dentate nucleus","DISORDERS OF THE OPTIC NERVE","5"
"Cerebral cortex","Dementia due to Alzheimer's disease (disorder)","5"
"Amygdaloid structure","Disorder nervous system","5"
"Structure of supramammillary nucleus","Parkinson Disease","5"
"Entire thalamic reticular nucleus","Functional disorder","5"
"Inferior Colliculus","Disease of thymus gland","5"
"Cerebellum","Brain Diseases","5"
"Lateral geniculate complex","Syndrome, Bloch-Sulzberger","5"
"Amygdaloid structure","Seasonal Affective Disorder","5"
"Genus Hippocampus","Lung diseases","5"
"Hypothalamic structure","Neurotoxicity Syndromes","5"
"Cerebellum","Gardner Syndrome","5"
"CA1 field","Occlusion of artery (disorder)","5"
"BRAIN, HIPPOCAMPUS","Congenital secretory diarrhea, sodium type (disorder)","5"
"Cerebral cortex","Sexually Transmitted Diseases","5"
"Brain Stem","Pancreatic Diseases","5"
"Entire medulla oblongata","Syndrome","5"
"Cerebral cortex","Idiopathic pneumonia syndrome","5"
"Structure of dentate gyrus","Marfan Syndrome","5"
"Genus Hippocampus","Acute infectious disease","5"
"Inferior Colliculus","Kartagener Syndrome","5"
"Cochlear Nerve","Sensorineural hearing loss (disorder)","5"
"lateral geniculate nucleus","DISORDERS OF THE OPTIC NERVE","5"
"central amygdalar nucleus","Sensitization (disorder)","5"
"Pars nervosa of hypophysis","Pituitary Diseases","5"
"Structure of suprageniculate nucleus","Alzheimer's Disease","5"
"Brain Stem","Eosinophilic disorder","5"
"Temporal Lobe","neuropathology disease","5"
"Anterodorsal nucleus of thalamus","Cerebrovascular Disorders","5"
"Structure of nucleus infundibularis hypothalami","Polycystic Ovary Syndrome","5"
"Medulla Oblongata","Disease Progression","5"
"Neostriatum","motor disorder","5"
"Structure of locus ceruleus","Down Syndrome","5"
"Internal capsule posterior limb structure","Aicardi's syndrome","5"
"Tuberomammillary Nucleus","Acute Chest Syndrome","5"
"BRAIN, HIPPOCAMPUS","Androgen-Insensitivity Syndrome","5"
"Ventral Tegmental Area","Major Depressive Disorder","5"
"Paracentral sulcus","Hamartoma Syndrome, Multiple","5"
"Ventral Tegmental Area","Alcohol withdrawal syndrome","5"
"Motor Cortex","Huntington Disease","5"
"Hypothalamic structure","Mood Disorders","5"
"Lateral paragigantocellular nucleus","Spinal Cord Diseases","5"
"Lobe, Frontal","Drug withdrawal syndrome","5"
"Basal Ganglia","Down Syndrome","5"
"Anterodorsal nucleus of thalamus","Psychotic Disorders","5"
"Cerebral cortex","Lafora Disease","5"
"CA2 field","Sweet Syndrome","5"
"Habenula","Major Depressive Disorder","5"
"Gigantocellular nucleus","Parkinson Disease","5"
"BRAIN, HIPPOCAMPUS","Hereditary Diseases","5"
"Structure of paraventricular nucleus","Skin endocrine disorder","5"
"Structure of paraventricular nucleus of thalamus","Pervasive Development Disorder","5"
"Hypothalamic structure","DISORDERS OF THE OPTIC NERVE","5"
"Dentate nucleus","Alzheimer's Disease","5"
"Posterior Hypothalamic Region","Seasonal Affective Disorder","5"
"Cerebellum","Sequela of disorder","5"
"Nucleus fastigii","cortex bone disorders","5"
"Thalamic structure","Disorder of pineal gland","5"
"Cerebral cortex","Eosinophilic disorder","5"
"Pyramidal Cells","Storage disease","5"
"Entire midbrain","Functional disorder","5"
"Cerebral hemisphere structure (body structure)","Prion Diseases","5"
"Cerebral cortex","Penile Diseases","5"
"Cerebral cortex","Recurrent disease","5"
"Parietal Lobe","Depressive disorder","5"
"BRAIN, HIPPOCAMPUS","DISORDERS OF THE OPTIC NERVE","5"
"Structure of inferior temporal gyrus","Down Syndrome","5"
"Medial Dorsal Nucleus","Autism Spectrum Disorders","5"
"Cerebral cortex","Chronic disease","5"
"Genus Hippocampus","Christ-Siemens-Touraine syndrome","5"
"Purkinje Cells","Renal glomerular disease","5"
"Structure of cingulum","Pervasive Development Disorder","5"
"CA3 field","Hodgkin Disease","5"
"Olfactory Cortex","cortex bone disorders","5"
"Bundle, Predorsal","Camurati-Engelmann Syndrome","5"
"CA1 field","Autism Spectrum Disorders","5"
"central amygdalar nucleus","Sweet Syndrome","5"
"Hypothalamic structure","Disorder nervous system","5"
"Pontine nuclei","Machado-Joseph Disease","5"
"External capsule","Parkinson Disease","5"
"Hypothalamic structure","Metabolic Syndrome X","5"
"Set of basolateral nuclei of amygdala","Anxiety Disorders","5"
"Allocortex","cortex bone disorders","5"
"Pyramidal Cells","Major Depressive Disorder","5"
"Insula of Reil","Irritable Bowel Syndrome","5"
"Cerebral cortex","Tic disorder","5"
"Thalamic structure","Psychotic Disorders","5"
"Neocortex","Hamartoma Syndrome, Multiple","5"
"Lobe, Frontal","Bipolar Disorder","5"
"Bundle, Predorsal","cortex bone disorders","5"
"Area striata structure","Opitz-Frias syndrome","5"
"Anteroventral Thalamic Nucleus","cortex bone disorders","5"
"Facial Nucleus","Spinal Cord Diseases","5"
"Nucleus solitarius","Lung diseases","5"
"Structure of nucleus infundibularis hypothalami","Liver diseases","5"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Depressive disorder","5"
"Ependyma","cortex bone disorders","5"
"Structure of lateral olfactory gyrus","Syndrome","5"
"Cerebellar white matter","Spinal Cord Diseases","5"
"Purkinje Cells","Sudden infant death syndrome","5"
"Cerebral cortex","Seasonal Affective Disorder","5"
"Genus Hippocampus","Norrie disease","5"
"Substantia nigra structure","Dyskinetic syndrome","5"
"Auditory pathway structure","Functional disorder","5"
"Pituitary Gland","Disorders, Mental","5"
"BRAIN, HIPPOCAMPUS","Pendred's syndrome","5"
"Basal Nucleus of Meynert","Vasodilation disorder","5"
"Vestibular nucleus structure","Diseases of inner ear","5"
"Cerebellar cortex structure","Cerebellar Diseases","5"
"Cerebellum","Greig cephalopolysyndactyly syndrome","5"
"BRAIN, HIPPOCAMPUS","Cat-Scratch Disease","5"
"Central insular sulcus","DISORDERS OF THE OPTIC NERVE","5"
"Ventral Tegmental Area","Attention deficit hyperactivity disorder","5"
"Posterolateral auditory cortex","Popliteal pterygium syndrome","5"
"Cerebral hemisphere structure (body structure)","Kartagener Syndrome","5"
"Genus Hippocampus","Rabies (disorder)","5"
"Structure of commissure of superior colliculus","Pituitary Diseases","5"
"Medulla Oblongata","Retinal Diseases","5"
"Neocortex","Pervasive Development Disorder","5"
"CA1 field","Disorder nervous system","5"
"Cerebral cortex","Lung diseases","5"
"BRAIN, HIPPOCAMPUS","Delirium, Dementia, Amnestic, Cognitive Disorders","5"
"Basal Ganglia","Rett Syndrome","5"
"Caudate nucleus structure","Lewy Body Disease","5"
"Basal Ganglia","Attention deficit hyperactivity disorder","5"
"Structure of locus ceruleus","Mood Disorders","5"
"Corpus striatum structure","Immunologic Deficiency Syndromes","5"
