"brainregion","disease","count"
"BRAIN, HIPPOCAMPUS","Disorders, Mental","82"
"Corpus striatum structure","Neurodegenerative Disorders","80"
"Brain Stem","Neurodegenerative Disorders","80"
"Corpus striatum structure","Spinal Cord Diseases","80"
"BRAIN, HIPPOCAMPUS","Disorder nervous system","79"
"Pyramidal Cells","Depressive disorder","79"
"Neostriatum","Neurodegenerative Disorders","79"
"Temporal Lobe","cortex bone disorders","79"
"Neostriatum","Neurotoxicity Syndromes","78"
"Neostriatum","Spinal Cord Diseases","77"
"Corpus striatum structure","Neurotoxicity Syndromes","77"
"Bundle, Predorsal","Lewy Body Disease","77"
"Inferior Colliculus","cortex bone disorders","77"
"BRAIN, HIPPOCAMPUS","Down Syndrome","76"
"Entire medulla oblongata","cortex bone disorders","76"
"Nucleus Accumbens","cortex bone disorders","76"
"Medial Dorsal Nucleus","Alzheimer's Disease","76"
"BRAIN, HIPPOCAMPUS","Van der Woude syndrome","76"
"CA2 field","Neurotoxicity Syndromes","74"
"Pontine structure","Spinal Cord Diseases","72"
"BRAIN, HIPPOCAMPUS","Hashimoto Disease","72"
"Cerebral cortex","Disorder nervous system","72"
"Lateral geniculate complex","cortex bone disorders","72"
"Cerebral cortex","Disorders, Mental","71"
"Genus Hippocampus","Neurodegenerative Disorders","71"
"Cerebral cortex","Neurodevelopmental disorder","71"
"Area striata structure","Retinal Diseases","71"
"Brain Stem","Parkinson Disease","70"
"Midbrain structure","Neurodegenerative Disorders","70"
"Lobe, Frontal","cortex bone disorders","70"
"Cerebellum","Retinal Diseases","69"
"Tectum Mesencephali","Retinal Diseases","68"
"Central gray substance of midbrain","Spinal Cord Diseases","68"
"Prosencephalon","Spinal Cord Diseases","68"
"Thalamic structure","Retinal Diseases","68"
"Structure of nucleus prepositus","Prion Diseases","68"
"Visual Cortex","Retinal Diseases","68"
"Prefrontal Cortex","Disorders, Mental","67"
"Entire lateral geniculate body","Retinal Diseases","67"
"Basal Ganglia","Parkinsonian Disorders","67"
"Hypothalamic structure","Skin endocrine disorder","66"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Retinal Diseases","66"
"Anterodorsal nucleus of thalamus","Neurotoxicity Syndromes","65"
"Cerebral cortex","Pervasive Development Disorder","65"
"Cerebral cortex","Syndrome","64"
"Bundle, Predorsal","Disease Progression","64"
"Cerebral cortex","Autism Spectrum Disorders","64"
"Structure of locus ceruleus","Parkinson Disease","64"
"Central cord canal structure","Spinal Cord Diseases","63"
"Nucleus solitarius","Spinal Cord Diseases","63"
"Thalamic Nuclei","cortex bone disorders","62"
"BRAIN, HIPPOCAMPUS","Pituitary Diseases","61"
"Neocortex","Spinal Cord Diseases","60"
"BRAIN, HIPPOCAMPUS","Syndrome","59"
"Pyramidal Cells","Functional disorder","59"
"CA1 field","Functional disorder","59"
"Globus Pallidus","Parkinson Disease","58"
"BRAIN, HIPPOCAMPUS","Parkinson Disease","58"
"Cerebellum","Neurodegenerative Disorders","58"
"Structure of locus ceruleus","cortex bone disorders","58"
"Structure of paraventricular nucleus of thalamus","cortex bone disorders","57"
"Cerebellum","Autistic Disorder","57"
"Dorsal Nucleus Raphe","Depressive disorder","57"
"Telencephalon","Spinal Cord Diseases","56"
"Purkinje Cells","cortex bone disorders","56"
"Structure of subiculum hippocampi","cortex bone disorders","56"
"Pedunculopontine Tegmental Nucleus","Parkinson Disease","56"
"Ventral Tegmental Area","Sensitization (disorder)","55"
"Red nucleus structure","Spinal Cord Diseases","55"
"Structure of locus ceruleus","Depressive disorder","55"
"CA3 field","cortex bone disorders","54"
"Posterolateral auditory cortex","cortex bone disorders","54"
"Somatosensory Cortex","cortex bone disorders","54"
"Structure of suprachiasmatic nucleus","Retinal Diseases","54"
"Purkinje Cells","Functional disorder","54"
"Basal Nucleus of Meynert","cortex bone disorders","53"
"Medulla Oblongata","Hypertensive disease","53"
"Superior colliculus of corpora quadrigemina","DISORDERS OF THE OPTIC NERVE","52"
