"disease"
"22q11 Deletion Syndrome"
"22q13.3 Deletion Syndrome"
"Aarskog syndrome"
"Abstinence Syndrome"
"Accommodation phosphene (disorder)"
"Acquired Immunodeficiency Syndrome"
"Acute Chest Syndrome"
"Acute Disease"
"Acute cerebrovascular disease"
"Acute infectious disease"
"Acyanotic congenital heart disease"
"Adams Oliver syndrome"
"Addison Disease"
"Adrenal Cushing's syndrome"
"Adult Fanconi syndrome"
"Affective Disorders, Psychotic"
"Aicardi's syndrome"
"Alagille Syndrome"
"Albers-Schonberg disease"
"Alcohol use disorder"
"Alcohol withdrawal syndrome"
"Alcoholic Liver Diseases"
"Alexander Disease"
"Allan-Herndon-Dudley syndrome"
"Allergic rhinitis NOS (disorder)"
"Alpers' Disease"
"Alstrom Syndrome"
"Alzheimer Disease, Late Onset"
"Alzheimer's Disease"
"Amnestic disorder"
"Andersen Syndrome"
"Androgen-Insensitivity Syndrome"
"Angelman Syndrome"
"Anophthalmia Waardenburg syndrome"
"Anterior Horn Cell Disease"
"Antiphospholipid Syndrome"
"Antisocial Personality Disorder"
"Anxiety Disorders"
"Arterial Tortuosity Syndrome"
"Arteriopathic disease"
"Articulation Disorders"
"Asperger Syndrome"
"Ataxia Telangiectasia Like Disorder"
"Ataxia as late effect of cerebrovascular disease"
"Attention Deficit Disorder"
"Attention deficit hyperactivity disorder"
"Attention-Deficit/Hyperactivity Disorder, Predominantly Inattentive Type"
"Auditory Perceptual Disorders"
"Auditory Processing Disorder, Central"
"Auditory neuropathy spectrum disorder"
"Autism Spectrum Disorders"
"Autistic Disorder"
"Autoimmune Diseases"
"Autonomic nervous system disorders"
"Axenfeld-Rieger Syndrome, Type 1"
"Bannayan-Riley-Ruvalcaba Syndrome"
"Barakat syndrome"
"Barber Say syndrome"
"Bardet-Biedl Syndrome"
"Basal Ganglia Diseases"
"Beckwith-Wiedemann Syndrome"
"Behavior Disorders"
"Behavioral syndrome associated with physiological disturbance and physical factors"
"Behcet Syndrome"
"Bernard-Soulier Syndrome"
"Bezoar (disorder)"
"Bilateral cataracts (disorder)"
"Binge eating disorder"
"Bipolar Disorder"
"Bipolar I disorder"
"Bipolar II disorder"
"Blindness - both eyes (disorder)"
"Blood Coagulation Disorders"
"Bloom Syndrome"
"Body Dysmorphic Disorders"
"Bone Diseases"
"Borderline Personality Disorder"
"Borna Disease"
"Bradyarrhythmia (disorder)"
"Brain Diseases"
"Brain Diseases, Metabolic"
"Brain stem disorder"
"Brooke-Spiegler syndrome"
"Burnett Schwartz Berberian syndrome"
"CADASIL Syndrome"
"CHARGE Syndrome"
"CNS disorder"
"Camurati-Engelmann Syndrome"
"Canavan Disease"
"Capillary Leak Syndrome"
"Capillary malformation (disorder)"
"Carbamoyl-Phosphate Synthase I Deficiency Disease"
"Cardio-facio-cutaneous syndrome"
"Cardiovascular Diseases"
"Carpal Tunnel Syndrome"
"Cat eye syndrome"
"Cat-Scratch Disease"
