Order,Scalable Brain ID,Label (provisional),X,Y,Z,UMLS ID,UMLS ID (Boyu),LBD ID,MeSH descriptor name,MeSH descriptor ID,Wikidata,Remarks
98,FuG_R_3_3 (37lv),fusiform gyrus,42.583,-49.205,-18.666,C0039485,C2952528,http://www.linked-neuron-data.org/resource/lateral_occipitotemporal_gyrus,Temporal Lobe,https://meshb.nlm.nih.gov/record/ui?ui=D013702,https://www.wikidata.org/wiki/Q66570192,MeSH not specific enough
78,SFG_R_7_7 (10m),superior frontal gyrus,7.821,58.202,13.145,C0152296,C2952593,http://www.linked-neuron-data.org/resource/superior_frontal_gyrus,Prefrontal Cortex,https://meshb.nlm.nih.gov/record/ui?ui=D017397,https://www.wikidata.org/wiki/Q66570158,MeSH not specific enough
66,OcG_L_4_3 (OPC),occipital gyrus,-17.62,-99.431,2.708,C0028785,C2952625,http://www.linked-neuron-data.org/resource/occipital_gyrus,Occipital Lobe,https://meshb.nlm.nih.gov/record/ui?ui=D009778,https://www.wikidata.org/wiki/Q60768390,MeSH not specific enough
28,MFG_L_7_3 (46),middle frontal gyrus,-27.736,55.943,12.424,C0152296,C2952638,http://www.linked-neuron-data.org/resource/medial_frontal_gyrus,Prefrontal Cortex,https://meshb.nlm.nih.gov/record/ui?ui=D017397,https://www.wikidata.org/wiki/Q66570161,MeSH not specific enough
187,PCL_R_2_2 (4ll),paracentral lobule,4.608,-21.061,61.121,,C2952740,missing,missing,missing,https://www.wikidata.org/wiki/Q66588105,MeSH not found
"201,CG_L_7_1 (23d),cingulate gyrus,-3.679,-39.216,31.114,C0018427,C2952755	,http://www.linked-neuron-data.org/resource/anterior_cingulate_gyrus,Gyrus Cinguli,https://meshb.nlm.nih.gov/record/ui?ui=D006179,https://www.wikidata.org/wiki/Q66570221,"
"162,CG_L_7_4 (23v),cingulate gyrus,-8.364,-47.161,9.516,C0018427,C2952755	,http://www.linked-neuron-data.org/resource/anterior_cingulate_gyrus,Gyrus Cinguli,https://meshb.nlm.nih.gov/record/ui?ui=D006179,https://www.wikidata.org/wiki/Q66570221,"
"244,CG_L_7_6 (23c),cingulate gyrus,-7.425,-22.604,40.629,C0018427,C2952755	,http://www.linked-neuron-data.org/resource/anterior_cingulate_gyrus,Gyrus Cinguli,https://meshb.nlm.nih.gov/record/ui?ui=D006179,https://www.wikidata.org/wiki/Q66570221,"
249,pSTS_R_2_1 (rpSTS),posterior superior temporal sulcus,52.495,-36.733,3.131,C0039485,C2952785,http://www.linked-neuron-data.org/resource/temporal_sulcus,Temporal Lobe,https://meshb.nlm.nih.gov/record/ui?ui=D013702,https://www.wikidata.org/wiki/Q732362,MeSH not specific enough
86,pSTS_R_2_2 (cpSTS),posterior superior temporal sulcus,56.707,-40,12.178,C0039485,C2952785,http://www.linked-neuron-data.org/resource/temporal_sulcus,Temporal Lobe,https://meshb.nlm.nih.gov/record/ui?ui=D013702,https://www.wikidata.org/wiki/Q732362,MeSH not specific enough
90,MFG_R_7_1 (9/46d),middle frontal gyrus,30.157,36.999,35.776,C0152296,C2952904,http://www.linked-neuron-data.org/resource/medial_frontal_gyrus,Prefrontal Cortex,https://meshb.nlm.nih.gov/record/ui?ui=D017397,https://www.wikidata.org/wiki/Q66570160,MeSH not specific enough
220,MFG_R_7_4 (9/46v),middle frontal gyrus,41.79,44.227,13.503,C0152296,C2952904,http://www.linked-neuron-data.org/resource/medial_frontal_gyrus,Prefrontal Cortex,https://meshb.nlm.nih.gov/record/ui?ui=D017397,https://www.wikidata.org/wiki/Q66570160,MeSH not specific enough
1,ITG_R_7_2 (37elv),inferior temporal gyrus,53.27,-52.461,-18.131,C0039485,C2953017,http://www.linked-neuron-data.org/resource/gyrus_temporalis_inferior,Temporal Lobe,https://meshb.nlm.nih.gov/record/ui?ui=D013702,https://www.wikidata.org/wiki/Q66570190,MeSH not specific enough
263,ITG_R_7_5 (37vl),inferior temporal gyrus,54.003,-56.948,-8.224,C0039485,C2953017,http://www.linked-neuron-data.org/resource/gyrus_temporalis_inferior,Temporal Lobe,https://meshb.nlm.nih.gov/record/ui?ui=D013702,https://www.wikidata.org/wiki/Q66570190,MeSH not specific enough
5,PoG_L_4_3 (2),postcentral gyrus,-45.875,-29.856,49.958,C0037658,C2953019,http://www.linked-neuron-data.org/resource/postcentral_gyrus,Somatosensory Cortex,https://meshb.nlm.nih.gov/record/ui?ui=D013003,https://www.wikidata.org/wiki/Q66570169,
56,STG_L_6_4 (22c),superior temporal gyrus,-62.319,-33.21,7.326,C0039485,C2953045,http://www.linked-neuron-data.org/resource/gyrus_temporalis_superior,Temporal Lobe,https://meshb.nlm.nih.gov/record/ui?ui=D013702,https://www.wikidata.org/wiki/Q66570187,
80,STG_L_6_6 (22r),superior temporal gyrus,-54.949,-3.273,-10.328,C0039485,C2953045,http://www.linked-neuron-data.org/resource/gyrus_temporalis_superior,Temporal Lobe,https://meshb.nlm.nih.gov/record/ui?ui=D013702,https://www.wikidata.org/wiki/Q66570187,
93,SFG_R_7_3 (9l),superior frontal gyrus,12.9,48.167,40.148,C0152296,C2953188,http://www.linked-neuron-data.org/resource/superior_frontal_gyrus,Prefrontal Cortex,https://meshb.nlm.nih.gov/record/ui?ui=D017397,https://www.wikidata.org/wiki/Q66570158,MeSH not specific enough
54,SFG_R_7_6 (9m),superior frontal gyrus,5.951,37.806,35.146,C0152296,C2953188,http://www.linked-neuron-data.org/resource/superior_frontal_gyrus,Prefrontal Cortex,https://meshb.nlm.nih.gov/record/ui?ui=D017397,https://www.wikidata.org/wiki/Q66570158,MeSH not specific enough
118,IFG_L_6_2 (IFS),inferior frontal gyrus,-47.357,31.889,13.744,C0152296,C2953203,http://www.linked-neuron-data.org/resource/prefrontal_cortex,Prefrontal Cortex,https://meshb.nlm.nih.gov/record/ui?ui=D017397,https://www.wikidata.org/wiki/Q1558534,MeSH (+ LBD?) not specific enough
83,PCun_R_4_3 (dmPOS),precuneus,16.3,-63.685,24.912,C0030560,C2953223,missing,Parietal Lobe,https://meshb.nlm.nih.gov/record/ui?ui=D010296,https://www.wikidata.org/wiki/Q66570176,LBD not found
"42,ITG_L_7_2 (37elv),inferior temporal gyrus,-50.531,-56.986,-14.637,C0039485,C2953231	,http://www.linked-neuron-data.org/resource/gyrus_temporalis_inferior,Temporal Lobe,https://meshb.nlm.nih.gov/record/ui?ui=D013702,https://www.wikidata.org/wiki/Q66570191,MeSH not specific enough"
"250,ITG_L_7_5 (37vl),inferior temporal gyrus,-55.144,-60.116,-5.86,C0039485,C2953231	,http://www.linked-neuron-data.org/resource/gyrus_temporalis_inferior,Temporal Lobe,https://meshb.nlm.nih.gov/record/ui?ui=D013702,https://www.wikidata.org/wiki/Q66570191,MeSH not specific enough"
133,MTG_R_4_1 (21c),middle temporal gyrus,64.823,-28.799,-13.206,C0039485,C2953264,http://www.linked-neuron-data.org/resource/middle_temporal_gyrus,Temporal Lobe,https://meshb.nlm.nih.gov/record/ui?ui=D013702,https://www.wikidata.org/wiki/Q66570188,MeSH not specific enough
206,MTG_R_4_2 (21r),middle temporal gyrus,51.425,5.556,-31.851,C0039485,C2953264,http://www.linked-neuron-data.org/resource/middle_temporal_gyrus,Temporal Lobe,https://meshb.nlm.nih.gov/record/ui?ui=D013702,https://www.wikidata.org/wiki/Q66570188,MeSH not specific enough
95,SFG_L_7_7 (10m),superior frontal gyrus,-7.695,56.027,15.206,C0152296,C2953288,http://www.linked-neuron-data.org/resource/superior_frontal_gyrus,Prefrontal Cortex,https://meshb.nlm.nih.gov/record/ui?ui=D017397,https://www.wikidata.org/wiki/Q66570159,MeSH not specific enough
225,STG_R_6_2 (41/42),superior temporal gyrus,53.849,-23.575,10.507,C0039485,C2953323,http://www.linked-neuron-data.org/resource/gyrus_temporalis_superior,Temporal Lobe,https://meshb.nlm.nih.gov/record/ui?ui=D013702,https://www.wikidata.org/wiki/Q66570186,
16,MFG_R_7_7 (10l),middle frontal gyrus,25.512,61.356,-3.794,C0152296,C2953343,http://www.linked-neuron-data.org/resource/medial_frontal_gyrus,Prefrontal Cortex,https://meshb.nlm.nih.gov/record/ui?ui=D017397,https://www.wikidata.org/wiki/Q66570160,MeSH not specific enough
"24,OrG_L_6_5 (13),orbital gyrus,-10.261,17.746,-18.793,C0152296,C2953349	,http://www.linked-neuron-data.org/resource/lateral_orbital_gyrus,Prefrontal Cortex,https://meshb.nlm.nih.gov/record/ui?ui=D017397,https://www.wikidata.org/wiki/Q5494792,LBD: only lateral orbital gyrus"
147,OcG_R_4_4 (iOccG),occipital gyrus,32.252,-84.548,-11.463,C0028785,C2953451,http://www.linked-neuron-data.org/resource/occipital_gyrus,Occipital Lobe,https://meshb.nlm.nih.gov/record/ui?ui=D009778,https://www.wikidata.org/wiki/Q60768390,MeSH not specific enough
214,SPL_R_5_3 (5l),superior parietal lobule,35.271,-42.043,53.876,C0030560,C2953470,http://www.linked-neuron-data.org/resource/superior_parietal_lobule,Parietal Lobe,https://meshb.nlm.nih.gov/record/ui?ui=D010296,https://www.wikidata.org/wiki/Q66570174,
243,MTG_L_4_3 (37dl),middle temporal gyrus,-59.173,-57.41,4.22,C0039485,C2953479,http://www.linked-neuron-data.org/resource/middle_temporal_gyrus,Temporal Lobe,https://meshb.nlm.nih.gov/record/ui?ui=D013702,https://www.wikidata.org/wiki/Q66570189,MeSH not specific enough
43,MTG_L_4_1 (21c),middle temporal gyrus,-64.96,-29.907,-11.927,C0039485,C2953520,http://www.linked-neuron-data.org/resource/middle_temporal_gyrus,Temporal Lobe,https://meshb.nlm.nih.gov/record/ui?ui=D013702,https://www.wikidata.org/wiki/Q66570189,MeSH not specific enough
27,MTG_L_4_2 (21r),middle temporal gyrus,-53.001,2.187,-29.669,C0039485,C2953520,http://www.linked-neuron-data.org/resource/middle_temporal_gyrus,Temporal Lobe,https://meshb.nlm.nih.gov/record/ui?ui=D013702,https://www.wikidata.org/wiki/Q66570189,MeSH not specific enough
37,OcG_R_4_3 (OPC),occipital gyrus,21.979,-97.166,4.348,C0028785,C2953587,http://www.linked-neuron-data.org/resource/occipital_gyrus,Occipital Lobe,https://meshb.nlm.nih.gov/record/ui?ui=D009778,https://www.wikidata.org/wiki/Q60768390,MeSH not specific enough
131,CG_L_7_2 (24rv),cingulate gyrus,-3.363,8.603,25.023,C0018427,C2953649,http://www.linked-neuron-data.org/resource/anterior_cingulate_gyrus,Gyrus Cinguli,https://meshb.nlm.nih.gov/record/ui?ui=D006179,https://www.wikidata.org/wiki/Q66570221,
84,CG_L_7_5 (24cd),cingulate gyrus,-4.727,6.887,37.283,C0018427,C2953649,http://www.linked-neuron-data.org/resource/anterior_cingulate_gyrus,Gyrus Cinguli,https://meshb.nlm.nih.gov/record/ui?ui=D006179,https://www.wikidata.org/wiki/Q66570221,
239,PrG_R_6_1 (4hf),precentral gyrus,54.821,-2.269,32.877,C0016733,C2953761,http://www.linked-neuron-data.org/resource/precentral_gyrus,Frontal Lobe,https://meshb.nlm.nih.gov/record/ui?ui=D005625,https://www.wikidata.org/wiki/Q66570166,
223,PrG_R_6_3 (4ul),precentral gyrus,34.258,-18.828,58.49,C0016733,C2953761,http://www.linked-neuron-data.org/resource/precentral_gyrus,Frontal Lobe,https://meshb.nlm.nih.gov/record/ui?ui=D005625,https://www.wikidata.org/wiki/Q66570166,
246,PrG_R_6_4 (4t),precentral gyrus,15.157,-21.511,70.977,C0016733,C2953761,http://www.linked-neuron-data.org/resource/precentral_gyrus,Frontal Lobe,https://meshb.nlm.nih.gov/record/ui?ui=D005625,https://www.wikidata.org/wiki/Q66570166,
210,PrG_R_6_5 (4tl),precentral gyrus,53.683,3.77,8.94,C0016733,C2953761,http://www.linked-neuron-data.org/resource/precentral_gyrus,Frontal Lobe,https://meshb.nlm.nih.gov/record/ui?ui=D005625,https://www.wikidata.org/wiki/Q66570166,
221,PCL_L_2_1 (1/2/3ll),paracentral lobule,-7.701,-38.048,58.297,,C2953777,missing,missing,missing,https://www.wikidata.org/wiki/Q66588106,MeSH + LBD not found
